Video,Url
Teil I.1 Radikaler Konstruktivismus I,https://www.evg-archive.net/wp-content/uploads/videos/Seminar_99/Teil1/seminar99_1_1.mp4
Teil I.2 Radikaler Konstruktivismus I,https://www.evg-archive.net/wp-content/uploads/videos/Seminar_99/Teil1/seminar99_1_2.mp4
Teil II: Radikaler Konstruktivismus II,	https://www.evg-archive.net/wp-content/uploads/videos/Seminar_99/Teil2/seminar99_2.mp4
Teil III: Kollquium Radikaler Konstruktivismus und erinnerte Wirklichkeit,https://www.evg-archive.net/wp-content/uploads/videos/Seminar_99/Teil3/seminar99_3.mp4
